NIBRS Code Name,Report Date,Location,Victim Count,Crime Against,Was a firearm involved?,Longitude,Latitude,Severity Score
Drug Equipment Violations,10/11/2023 12:55:44 AM,3102 MARTIN LUTHER KING JR DR SW,0.0,SOCIETY,N,-84.488306,33.751025,0.0666
Motor Vehicle Theft,10/11/2023 1:01:00 AM,1130 GRAYMONT DR SW,1.0,PROPERTY,N,-84.436249,33.724421,0.2331
Simple Assault,10/11/2023 1:22:30 AM,3003 MIDDLETON RD NW,1.0,PERSON,N,-84.488036,33.753015,0.1332
Motor Vehicle Theft,10/11/2023 1:31:29 AM,2140 PEACHTREE RD NW,1.0,PROPERTY,N,-84.392617,33.812966,0.2331
Simple Assault,10/11/2023 1:32:44 AM,3366 ARDLEY RD SW,1.0,PERSON,N,-84.498545,33.728504,0.1332
All Other Larceny,10/11/2023 1:51:26 AM,3041 LANDRUM DR SW,1.0,PROPERTY,N,-84.488204,33.70753,0.1665
Robbery,10/11/2023 2:04:14 AM,616 JOSEPH E BOONE BLVD NW,1.0,PROPERTY,Y,-84.407643,33.763266,0.6327
All Other Larceny,10/11/2023 2:10:28 AM,217 THIRKELD AVE SW,1.0,PROPERTY,N,-84.392638,33.713616,0.1665
Theft From Motor Vehicle,10/11/2023 2:10:28 AM,217 THIRKELD AVE SW,1.0,PROPERTY,N,-84.392638,33.713616,0.0999
Motor Vehicle Theft,10/11/2023 2:15:59 AM,3334 PEACHTREE RD NE,1.0,PROPERTY,N,-84.370419,33.85025,0.2331
Motor Vehicle Theft,10/11/2023 2:45:14 AM,3301 N CAMP CREEK PKWY SW,1.0,PROPERTY,N,-84.500667,33.672568,0.2331
Destruction/Damage/Vandalism of Property,10/11/2023 2:45:14 AM,3301 N CAMP CREEK PKWY SW,1.0,PROPERTY,N,-84.500667,33.672568,0.1665
Aggravated Assault,10/11/2023 3:04:28 AM,2996 JONESBORO RD SE,2.0,PERSON,Y,-84.372178,33.672672,0.5994
Destruction/Damage/Vandalism of Property,10/11/2023 3:41:04 AM,3349 MARTIN L KING JR DR NW,1.0,PROPERTY,N,-84.497337,33.754884,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 4:31:29 AM,320 FAIRBURN RD SW,1.0,PROPERTY,N,-84.508116,33.748764,0.1665
Theft From Motor Vehicle,10/11/2023 4:43:00 AM,95 8TH ST NW,1.0,PROPERTY,N,-84.390258,33.779679,0.0999
Theft From Motor Vehicle,10/11/2023 4:43:11 AM,2143 PEACHTREE RD NE,1.0,PROPERTY,N,-84.39175,33.812587,0.0999
Destruction/Damage/Vandalism of Property,10/11/2023 4:47:03 AM,116 PONCE DE LEON AVE NE,0.0,PROPERTY,N,-84.383583,33.773041,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 4:56:58 AM,SIDNEY MARCUS BLVD NE / PIEDMONT RD NE,1.0,PROPERTY,N,-84.367147,33.825758,0.1665
Robbery,10/11/2023 5:23:22 AM,41 10TH ST NE,1.0,PROPERTY,Y,-84.386662,33.781261,0.6327
Destruction/Damage/Vandalism of Property,10/11/2023 5:48:59 AM,6023 N TERMINAL PKWY,1.0,PROPERTY,N,-84.445657,33.643216,0.1665
Destruction/Damage/Vandalism of Property,10/11/2023 5:55:00 AM,3768 PORTSMOUTH WAY SW,1.0,PROPERTY,N,-84.510022,33.682122,0.1665
Simple Assault,10/11/2023 6:26:58 AM,3749 CAMPBELLTON RD SW,1.0,PERSON,N,-84.511121,33.690848,0.1332
Destruction/Damage/Vandalism of Property,10/11/2023 6:29:32 AM,935 MARIETTA ST NW,1.0,PROPERTY,N,-84.408411,33.777983,0.1665
